seller_fee_basis_points	standardWidth	rv	is_alpha	thumbnail	type	external_uri	dist	is dynamic	background_color	updates	prestige	coordinates_bottom_right	Genre	Address	temperature	z	generation	subtitle	creators	xp	features	apiURL	color	payout_address	marble_attributes	ETH$	image_url	offset	bayer	Author	gif_url	var_max	token_id	copyright_transfer	description	image_data	royalty_amount	tokenID	animation_url	decimals	xWidth	Release Qty	id	base	var_min	animation_image	home_url	desc	amount	adw	landmark	archival_url	version	tokenNumber	uniqueComboId	designer	edizione	maxSupply	vz	imageid	image_cover	Watch	lum	texture_orm	updatedAt	canvasImage	BTC Block Height	abilities	var	numAvailable	interactive_nft	preview_images	assetType	resellable	image_original	series	pmrarad	aspect ratio (w/h)	collection_name	scarf	license_url	timestamp	yearCreated	error	original	auctionLength	printableSeries	static-image	tokenId	seed	combination	created_at	shape_obj	attributes	audio	original_creator	scale	mouth	external_link	COMMS	status	token_hash	symbol	canvasWidthInPx	canvases	collection_url	rarity	updated_at	createdAt	icon	media	minted	gasless	edition_total	vintageImage	shape_gltf	Hat	principal	store	title	forSale	mapping_id	token_uri	artwork code	hip	author	radius	dec	eyes	contract	tune_token_id	template	owner	card_id	comp	con	Reference	edition_number	isRevealed	awp	auctionType	listing_id	genome	sale	number_attributes	intermediateLevelSegment	collection	image	bf	total_editions	seriale	created_by	file_key	sensitive_content	Minted By	mag	spect	surname	image_profile_circle	matrix	image_no_bg_url	hash	pmdec	borrow	isFairDice	Date	date	ra	tokenid	animation_details	url	epithets	Website	Body	uses hash	artwork id	externalUrl	collection_id	external_url	createdBy	origin_cid	legal	animationUrls	extra_data	image_full	address	Ball	yHeight	sub_category	variety	artwork number	store_id	copyright	token_address	script type	glb	comp_primary	Artists	properties	compiler	ipfs	texture_bc	hr	audio_original	pmra	core_attributes	randomSeedData	ipfs_image	gl	artist	name	dna	script_type	image_ipfs	img	traits	contractAddress	license	website	flam	personality	rank	fee_recipient	tags	spectral_type	Clothes	Glass	ratio	ci	Type	avatar_url	coordinates_top_left	result	nft_contract_address	cannon_assetId	taskId	alt	ethPrice	created_year	initialLevelSegment	fiatPrice	cover_image_set	chainId	pmdecrad	rarad	amountToMint	poem	DeepestMystery	download	price	contributors	social_media	hd	image_profile_square	vy	totalReturns	visibility	originalIndex	iframe_url	message	absmag	finalLevelSegment	category	decrad	animation	stats	image_details	video	mintedOn	Background Color	creator	backgroundColor	x	colors	_id	Authors	Series	extras_future_url	platform	proper	edition	y	aspect_ratio	gamefi_URI	particleType	minter	language	vx	artwork serial	slot	dependencies	canvasHeightInPx	number	youtube_url
																																																																																									1324																																																										0xC6f034Ed38480A99640247503b81CB08C71d7349	https://halloween-bears.netlify.app/placeholder.png																																																															Bear #1324																																																																																			
																																			This is th																																																						23					trait_type,value																																																					0xb6EC295567dD07a25F0F3f806141dcb886300366	https://gateway.pinata.cloud/ipfs/QmPUMasE1MFqcXo3cE95gaiASnNYsu9CxgqRGQB6D4SpZT/1.png																																																															The Root Key - The Quiet																																																																																			
																																			When they'																																																						10					trait_type,value																																																					0xbc8429003E16dCE86dBDD547434f0bC3BFcEb384	ipfs://Qmf29sxuFURvaYhiewRzQrqCQhFtEHRn2wTRaQTpjrdgWV/10.png																			1636782320965																																	Penguin Aviation Academy Engine Room											#10	fa03a6b5fe0e2cd6f61170e321c98e3b8ef1d73f																																																																					10													
																																																																																									1015																																																										0x6e8Ca9F24De73344854C4E97a9eAa2fbfbC6E6F6																																																																																																																																																			
																																			This work 				ipfs://Qmefk73sVaR8XfYPzV3LtVzsTcngArpFEjrejBj8xN57zw?seed=4861#																																										https://creativecommons.org/licenses/by-nc-sa/3.0/								1062					trait_type,value																																																					0xA3F2f7289538eE1b9f94f88834e1b35B519D2015	ipfs://QmYXS3xQ1Y5RiZCg39kRHRFtJvL8JLXRjKou5uEG9SVixa																															https://ipfs.io/ipfs/Qmefk73sVaR8XfYPzV3LtVzsTcngArpFEjrejBj8xN57zw?seed=4861#		Qmefk73sVaR8XfYPzV3LtVzsTcngArpFEjrejBj8xN57zw																														Generativemasks Girl #4861																																																																																			
																																																																																									2																																																										0x3EB9EE21d5D7f37D53De0213cB7058fb27eabdE9																																																																																																																																																			
																																																																																									1																																																										0x14c99a563b5D1c11c58EEd1d66ed831D00DE9E4C																																																																																																																																																			
																																			Psychic Bl																																																						1																																																										0x97b70306Eb1A04ce543676192b2414298A4DE2f9	ipfs://QmRSUR9fZ4gs2GrgshJjTocn4bKxm2krR78eQqx3jYE5R2/nft.jpg																																																															Psychic Blossom 1 																																																																																			
																																			Astrobuds 																																																						11																																																										0xDd9d52806bc50676f268349F8D358982628C7409	ipfs://QmbNpMfepT4uwTBfGZT6GFFHoRtrjANs121xBK861E5xCV																																																															Astrobud #11																																																																																			
																																			Fighters a																																															1637744469							210010085					['type_name', 'lv', 'rarity', 'attribute', 'str', 'grp', 'thr', 'hp', 'def', 'spd']																																																					0x218F7beDE2349A3A25b2aB688b9553e602e5F95b	https://static.chojo-cga.com/images/fighters/400/21001.png																																																															CHOJO:Fighter #210010085																																																																												en							
																																			A series o				https://art-sandbox.sunflower.industries/tokenFrame/0xF23b8EacB9E7325F3f7714f8D28aE9BCFD262809/154																																																		154					trait_type,value																																																					0xF23b8EacB9E7325F3f7714f8D28aE9BCFD262809	https://art-sandbox.sunflower.industries/render/tokenImage/0xF23b8EacB9E7325F3f7714f8D28aE9BCFD262809/154																															https://art.sunflower.industries/token/0xF23b8EacB9E7325F3f7714f8D28aE9BCFD262809/154																															0xD3fF209c5AdddB59C6aC709Fd0B236FC14246B42	Pluma (SI) #154																																																																																"[{""name"":""p5@1.4.0"",""keccak256"":""0xcef1df742d5237151854b6ccd3d7769c7bcb2cf987e4f8f6ca1ad69afdac3dcc""}]"			
																																			Art for N 																																																						1016					trait_type,value																																																					0xB2Ee306F1C8D314341b7C335014473aa8C2D5D71	https://gateway.pinata.cloud/ipfs/QmQGVDe5GTGyKX2vcjyARemLYChimxfXvaptSTkDBQk26H/1016.png																																																															Art for N #1016																																																																																			
																																			2018년도에 시작																																																						15																																																										0xd654D6c22B8543a1695387F162653aFA149829FB	ipfs://QmVZfXB1T1ydS1CNa215uDQ9LNGpjxyVGkNP5g66npgPM7																																																															"BALLS ""The Hot, Red Heart"""																																																																																			
																																			Fully on-c																																																						1117																																																										0xE5b8877036Bc6E1933ad90d252B8e97D66e0d7e4	data:image/svg+xml;charset=utf-8,<svg width='100%' height='100%' viewBox='0 0 100000 100000' style='stroke-width:800; stroke:hsl(222,86%,26%); background-color:rgb(0,0,0)' xmlns='http://www.w3.org/2000/svg'><line x1='27499' y1='42498' x2='31246' y2='38751' /><line x1='23752' y1='38751' x2='27499' y2='42498' /><line x1='20003' y1='42498' x2='23750' y2='46245' /><line x1='23750' y1='38751' x2='20003' y2='42498' /><line x1='27499' y1='42498' x2='31246' y2='46245' /><line x1='31246' y1='38751' x2='27499' y2='42498' /><line x1='27499' y1='35002' x2='23752' y2='38749' /><line x1='31246' y1='38749' x2='27499' y2='35002' /><line x1='12503' y1='42498' x2='16250' y2='46245' /><line x1='16250' y1='38751' x2='12503' y2='42498' /><line x1='12503' y1='35002' x2='8756' y2='38749' /><line x1='16250' y1='38749' x2='12503' y2='35002' /><line x1='12503' y1='42498' x2='8756' y2='46245' /><line x1='16250' y1='46245' x2='12503' y2='42498' /><line x1='19999' y1='42498' x2='16252' y2='38751' /><line x1='16252' y1='46245' x2='19999' y2='42498' /><line x1='27498' y1='57501' x2='23751' y2='53754' /><line x1='23751' y1='61248' x2='27498' y2='57501' /><line x1='27498' y1='64997' x2='31245' y2='61250' /><line x1='23751' y1='61250' x2='27498' y2='64997' /><line x1='27498' y1='57501' x2='31245' y2='53754' /><line x1='23751' y1='53754' x2='27498' y2='57501' /><line x1='20002' y1='57501' x2='23749' y2='61248' /><line x1='23749' y1='53754' x2='20002' y2='57501' /><line x1='27498' y1='72497' x2='31245' y2='68750' /><line x1='23751' y1='68750' x2='27498' y2='72497' /><line x1='20002' y1='72497' x2='23749' y2='76244' /><line x1='23749' y1='68750' x2='20002' y2='72497' /><line x1='27498' y1='72497' x2='31245' y2='76244' /><line x1='31245' y1='68750' x2='27498' y2='72497' /><line x1='27498' y1='65001' x2='23751' y2='68748' /><line x1='31245' y1='68748' x2='27498' y2='65001' /><line x1='42498' y1='72501' x2='38751' y2='68754' /><line x1='38751' y1='76248' x2='42498' y2='72501' /><line x1='42498' y1='79997' x2='46245' y2='76250' /><line x1='38751' y1='76250' x2='42498' y2='79997' /><line x1='42498' y1='72501' x2='46245' y2='68754' /><line x1='38751' y1='68754' x2='42498' y2='72501' /><line x1='35002' y1='72501' x2='38749' y2='76248' /><line x1='38749' y1='68754' x2='35002' y2='72501' /><line x1='42498' y1='87497' x2='46245' y2='83750' /><line x1='38751' y1='83750' x2='42498' y2='87497' /><line x1='35002' y1='87497' x2='38749' y2='91244' /><line x1='38749' y1='83750' x2='35002' y2='87497' /><line x1='42498' y1='87497' x2='46245' y2='91244' /><line x1='46245' y1='83750' x2='42498' y2='87497' /><line x1='42498' y1='80001' x2='38751' y2='83748' /><line x1='46245' y1='83748' x2='42498' y2='80001' /><line x1='57501' y1='72502' x2='53754' y2='76249' /><line x1='61248' y1='76249' x2='57501' y2='72502' /><line x1='64997' y1='72502' x2='61250' y2='68755' /><line x1='61250' y1='76249' x2='64997' y2='72502' /><line x1='57501' y1='72502' x2='53754' y2='68755' /><line x1='53754' y1='76249' x2='57501' y2='72502' /><line x1='57501' y1='79998' x2='61248' y2='76251' /><line x1='53754' y1='76251' x2='57501' y2='79998' /><line x1='72497' y1='72502' x2='68750' y2='68755' /><line x1='68750' y1='76249' x2='72497' y2='72502' /><line x1='72497' y1='79998' x2='76244' y2='76251' /><line x1='68750' y1='76251' x2='72497' y2='79998' /><line x1='72497' y1='72502' x2='76244' y2='68755' /><line x1='68750' y1='68755' x2='72497' y2='72502' /><line x1='65001' y1='72502' x2='68748' y2='76249' /><line x1='68748' y1='68755' x2='65001' y2='72502' /></svg>																																																															Friendly Fractals N #1117																																																																																			
									ffffff																										run by Ste				https://res.cloudinary.com/nifty-gateway/video/upload/v1614650218/A/SteveAoki/run_-_Carly_Bernstein_jz17n7.mp4																																																		13300010002																																																										0x2AF6eb2BFda21572615708532602454e5413bda1	https://res.cloudinary.com/nifty-gateway/video/upload/v1614650218/A/SteveAoki/run_-_Carly_Bernstein_jz17n7.png																															https://niftygateway.com/#/																																run #2/281																																																																																			
																																			Introducin																																																						10					trait_type,value																																																					0xDd347F8959012721890e22601Fc9929473924b4e	https://nft-images-mj.s3.ap-southeast-1.amazonaws.com/NFT.jpg																																																															The Beauty of Rebellion																																																																																			
																																			"2D: 
Physi"																																																						1																																																										0x3A6Cb1788b06A54035DCaA6C7D8155D158582b2F	ipfs://QmTJmD5jND7iw1MSyix3HSZLBg7ntyzsiK6FpJ2w6WGrrR/nft.mp4																																																															Fifth Dimension #1																																																																																			
																																																																																									2																																																										0x3402eBA54b3DfA5a0B12a214Cf1169599D7248a6																																																																																																																																																			
																																																																																									10038																																																										0x8A9dd905e0496e6A9F1Ef9AFeAc06852F5417198																																																																																																																																																			
					ERC721																														Original o																																																						2					trait_type,value																		Minted on Mintbase.io									True																										0x77E306F107b7111E52504A998E4858Dad8fc2859	https://arweave.net/rKZXpjRSN06S-rOLjcdk3eOWYxdpAv2uNS-xrfvRReM																															undefined/my-market/0x77e306f107b7111e52504a998e4858dad8fc2859																																THΞ City						0x77e306f107b7111e52504a998e4858dad8fc2859																					10000			$47,939,200.00					1				0							safe						alJuInV4dezvHTNU8Dp1						2021-11-08T15:58:48.634Z																	0x91e03ca709c1950e621060e64ddebdc3b7c6dede								
																																			a collecti																																																						2					trait_type,value																																																					0x1f9e348acfC8eF168972Aec2a45deB2e4dfF2eC4	ipfs://QmWx1ygAmv6pmkWVb95LNMJboDxWQKQSXUt9XBbcudoG2A/2.png																			1634950014483																																												WeirdPal #2	63fe33a2d2c08ff2246f3a1bcf32f96b6c8d78cd																																																																					2													
									ffffff																										MEMORY by 				https://res.cloudinary.com/nifty-gateway/video/upload/v1636060455/Max/ThankYouXNov7/MEMORY_g59u0r.mp4																																																		22100010001																																																										0x72a95876cFB5B001bC33a982BAfB8f36f26aE8CF	https://res.cloudinary.com/nifty-gateway/video/upload/v1636060455/Max/ThankYouXNov7/MEMORY_g59u0r.png																															https://niftygateway.com/#/																																MEMORY #1/10																																																																																			
																																																																																									10																																																										0xad19B3A8984fa82f37198dBCbe111fcb46306CDb																																																																																																																																																			
																																			9999 uniqu																																																						10					trait_type,value																																																					0xeb71c0EB16A7150bFa97907e39E8Ab7d72C390A4	ipfs://QmbRSLo2feiprYJUqojpzYeiBmUEDQzFqJWEu14V9rwk9p/10.png																			1634254345621																																	HashLips Art Engine											#10	4b510bafea01117eddf484344cba21dab7edc6a5																																																																					10													
																																																																																									2																																																										0x22Be6c206Dd556Ba37E73f7c04bE6e50196d39BE																																																																																																																																																			
									ffffff																										Lizzy By G																																																						4500050003																																																										0x147f5bF799b26F304dCA874F1B79Ee57eEA79716	https://res.cloudinary.com/nifty-gateway/image/upload/v1612370563/Max/Goldweard/Lizzy_-_Future_Punk_levkyj.png																															https://niftygateway.com/#/																																Lizzy #3/50																																																																																			
																																																																																									5																																																										0x0e70916c835CEa8C78b58bC36DFD056FAE97d535																																																																																																																																																			
																																			I'm Projec																																																						2					trait_type,display_type,value,Description																																																					0xd01592BC107Be375151C8bB1dbc8804480811078	https://projectsnooze.s3.eu-west-2.amazonaws.com/YEALZIOTFPBOIP.png																																																															#3																																																																																			
																																			This token																																																						11																																																										0xdC68Df821103ABAB3495284cB2B7Fb0F8Ddb9B96	https://nft.abolfazl.dev/p/Reveal.gif																															https://shoevault.io/																																ShoeVault #11																																																																																			
																																			The “Lucky																											none																		none									1									slightly-smiling																			helmet												heart																		0x23898c5de23318a8140812C517ead572f42a9540	https://www.luckydogclub.org/fs/43/67/4367f3e11dbf12658aa1fe0246405229838e10de.jpeg																										spot													flight of bumblebee																								Lucky Dog Club #1															hoodie yellow	none																																											heat imaging																								
									ffffff																										Ritual One				https://res.cloudinary.com/nifty-gateway/video/upload/v1614977525/AMatthew/JohnGuydoMarch11/Ritual_One-Isolated_Reversal_wusow2.mp4																																																		31500010027																																																										0xA9D57298Ef07E99522E6fD273220acc24654e4Dc	https://res.cloudinary.com/nifty-gateway/video/upload/v1614977525/AMatthew/JohnGuydoMarch11/Ritual_One-Isolated_Reversal_wusow2.png																															https://niftygateway.com/#/																																Ritual One - Isolated Reversal #27/203																																																																																			
																																																																																									124																																																										0xC5cEcC420a1f2f78503671f562E1FE61036fF0E0																																																																																																																																																			
																																			Monster Ma																																																						155					trait_type,value																																																					0x6bA67F7A9E5C5e245500459E3A1dEb8E2cFc8174	https://ipfs.io/ipfs/QmUCdXLRZ5FLD5YzyFJ91TN9yYHYLFWRHZziyvJt7dyNyb																															www.monstermashnft.com																																Monster Mash Halloween 2021 #155																																																																																			
																											https://arweave.net/ybPJWdvcAXL_l6dNs3rXai9tptruCSuCnfChm-xU0FY								Chapter IV				https://arweave.net/tP5VF3ULRE1n2hjd6ST3ZnChsYJiTyZ4YTr-lKByc54																																																		1000					trait_type,value																																																					0x6C9369dC930fd794AD0af7511f483d936A2eF7F3	https://arweave.net/ybPJWdvcAXL_l6dNs3rXai9tptruCSuCnfChm-xU0FY				Micah Johnson																		{'bytes': 68846166, 'format': 'MP4', 'duration': 55, 'sha256': 'e28c256aa0ae8f3595514747496bf46191a44f2ca37749f64c34790acb380cda', 'width': 3840, 'height': 2160, 'codecs': ['H.264', 'AAC']}																																									Aku Chapter IV: Aku x Ady #429/1024																																																						https://arweave.net/tP5VF3ULRE1n2hjd6ST3ZnChsYJiTyZ4YTr-lKByc54		{'bytes': 7067169, 'format': 'PNG', 'sha256': '0fd90713aecfe89aac4007287df08751f5831b61520f9c5ebaaaf3062980d459', 'width': 3840, 'height': 2160}																											
									ffffff																										BearBullis																																																						1000010005																																																										0x26e1311CA72e622EabeE7c02F6C48564726eAF0d	https://res.cloudinary.com/nifty-gateway/image/upload/v1589564161/Hackatao/Funny-Slayer-x-social_qi4doo.gif																															https://niftygateway.com/#/																																BearBullish #5/23																																																																																			
																																																																																									10																																																										0x0E5af5cc3DF53Fcab8a92F07d6189e4189Ed6CEB																																																																																																																																																			
																																																																																									11																																																										0x3881EEf700ea081752E6d9A69F75B958B2b9FD37																																																																																																																																																			
																																			[![Verifie																																																						1012					trait_type,value																																																					0x1E6EB746EC5dbDe097223dD1bb3031310321e33B	https://d2lxv9md5fnbs6.cloudfront.net/creations/acc222a5-98f3-45c9-bbdd-55a86a74c165/0c02a5e0-2a1b-4469-9fcb-cf47c2bbb189																															https://app.ureeqa.com/package-of-proof/0c02a5e0-2a1b-4469-9fcb-cf47c2bbb189																																Trey Mancini NFT Collection Silver NFT																																																																																			
100									ffffff																										Baleful Ab																																																						1					trait_type,value																																																					0x42dCbA5dA33CDDB8202CC182A443a3e7b299dADb	https://gateway.pinata.cloud/ipfs/QmTuc7VhLN9iYwfnrLiXZx3AXdu3uN8qbKAP5hacpVWny2/Baleful_Abaddon.png																															http://greatestlarp.com/																																Baleful Abaddon Moloch												0xde21F729137C5Af1b01d73aF1dC21eFfa2B8a0d6																																																																							
									ffffff																										Purchasing																																																						6300010013																																																										0x43B557B1F923f1cB4eCd05FF3beac7b933bEDb46	https://res.cloudinary.com/nifty-gateway/image/upload/v1610584870/A/JustinRoiland/001_the_presentations_gd2y7x.png																															https://niftygateway.com/#/																																The Presentations #13/336																																																																																			
